iter	Passed	Remaining
0	0	861
1	1	713
2	2	665
3	2	634
4	3	651
5	3	627
6	4	616
7	4	613
8	5	598
9	6	596
10	6	602
11	7	599
12	7	594
13	8	587
14	8	585
15	9	585
16	10	584
17	10	581
18	11	596
19	12	593
20	12	594
21	13	592
22	13	588
23	14	586
24	14	583
25	15	579
26	15	576
27	16	572
28	17	569
29	17	568
30	18	568
31	18	566
32	19	565
33	19	563
34	20	562
35	20	561
36	21	561
37	22	562
38	22	560
39	23	560
40	23	559
41	24	558
42	25	558
43	25	557
44	26	556
45	26	556
46	27	554
47	27	552
48	28	550
49	28	548
50	29	547
51	29	545
52	30	545
53	31	543
54	31	540
55	32	539
56	32	539
57	33	539
58	33	538
59	34	537
60	34	536
61	35	535
62	35	533
63	36	533
64	37	532
65	37	531
66	38	530
67	38	529
68	39	529
69	39	528
70	40	528
71	40	527
72	41	527
73	42	527
74	42	527
75	43	526
76	43	525
77	44	524
78	44	522
79	45	521
80	45	521
81	46	520
82	46	516
83	47	515
84	48	516
85	48	516
86	49	516
87	49	515
88	50	515
89	50	514
90	51	513
91	51	512
92	52	512
93	53	510
94	53	510
95	54	509
96	54	508
97	55	507
98	55	506
99	56	506
100	56	505
101	57	505
102	57	504
103	58	503
104	59	503
105	59	502
106	60	502
107	60	501
108	61	500
109	61	499
110	62	498
111	62	497
112	63	499
113	64	498
114	64	498
115	65	497
116	65	496
117	66	496
118	67	496
119	67	496
120	68	496
121	68	494
122	69	494
123	69	493
124	70	493
125	71	494
126	71	493
127	73	497
128	74	499
129	74	500
130	75	501
131	76	503
132	77	503
133	77	503
134	78	502
135	78	501
136	79	501
137	80	501
138	80	501
139	81	501
140	82	501
141	82	499
142	83	498
143	83	498
144	84	497
145	85	497
146	85	497
147	86	496
148	86	496
149	87	496
150	88	495
151	88	496
152	89	495
153	90	495
154	90	494
155	91	494
156	91	493
157	92	492
158	93	492
159	93	492
160	94	490
161	94	490
162	95	489
163	95	488
164	96	488
165	97	488
166	97	487
167	98	487
168	98	486
169	99	485
170	100	485
171	100	485
172	101	485
173	102	485
174	102	484
175	103	484
176	104	484
177	104	484
178	105	484
179	106	483
180	106	483
181	107	482
182	107	481
183	108	481
184	109	480
185	109	479
186	110	479
187	110	479
188	111	478
189	112	477
190	112	477
191	113	477
192	113	476
193	114	475
194	115	475
195	115	475
196	116	475
197	117	474
198	117	474
199	118	473
200	118	472
201	119	471
202	120	471
203	120	471
204	121	470
205	121	469
206	122	468
207	122	468
208	123	467
